Абстрактность,Будущее,Динамичность,Местоименная замена,Настоящее,Обобщенность действия,Описательность,Описательность действия,Пассив,Предметность,Признак действия,Прошедшее,Реальная модальность,Совершенность действия,Состояние,Численность,Author,Novel
0.13774403470715835,0.20855614973262032,0.24415941365093907,0.28679245283018867,0.22727272727272727,0.014827018121911038,0.5147058823529411,0.3436293436293436,0.72,0.364177737059093,0.2932454695222405,0.5641711229946524,0.9090909090909091,0.4625668449197861,0.00961978928080623,0.012254901960784314,Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"
0.32896890343698854,0.1509433962264151,0.2038369304556355,0.37073170731707317,0.2560646900269542,0.03242147922998987,0.6784059314179796,0.39679715302491103,0.654320987654321,0.28091812264474136,0.2259371833839919,0.5929919137466307,0.9595687331536388,0.49595687331536387,0.0078794107571086,0.006487488415199258,Гоголь,Выбранные места из переписки с друзьями
0.13445378151260504,0.22935779816513763,0.26554328878558975,0.35760517799352753,0.22935779816513763,0.025821596244131457,0.47189097103918226,0.30666666666666664,0.6666666666666666,0.3590935502614759,0.323943661971831,0.5412844036697247,0.8929663608562691,0.5168195718654435,0.017431725740848343,0.03577512776831346,Гоголь,Мертвые души Том первый
0.2989593188268685,0.1729106628242075,0.2157571376942537,0.3562753036437247,0.49855907780979825,0.026241799437675725,0.9883585564610011,0.3275862068965517,0.4657534246575342,0.2677990603541742,0.1780693533270853,0.3285302593659942,0.9798270893371758,0.3804034582132565,0.01915431875677629,0.004656577415599534,Гоголь,Выбранные места из переписки с друзьями
0.3242867084203201,0.23214285714285715,0.20778874366497732,0.34809474768280124,0.36160714285714285,0.027046783625730993,0.7927300850734725,0.41073825503355704,0.5853658536585366,0.2590024006401707,0.2236842105263158,0.40625,0.9821428571428571,0.40848214285714285,0.015470792211256334,0.007733952049497293,Гоголь,Выбранные места из переписки с друзьями
0.16740088105726872,0.13552361396303902,0.25224913494809686,0.2867724867724868,0.19917864476386038,0.015719467956469165,0.5403304178814383,0.3628691983122363,0.4927536231884058,0.32698961937716264,0.31197097944377267,0.6652977412731006,0.9527720739219713,0.4620123203285421,0.011418685121107266,0.03984450923226433,Гоголь,Мертвые души Том первый
0.3019768234492161,0.2676659528907923,0.2151761517615176,0.3486328125,0.3640256959314775,0.030837004405286344,0.8220408163265306,0.4129287598944591,0.589041095890411,0.2775067750677507,0.22980910425844348,0.3683083511777302,0.9421841541755889,0.41755888650963596,0.016802168021680216,0.005714285714285714,Гоголь,Выбранные места из переписки с друзьями
0.19899665551839466,0.13781512605042018,0.28848684210526315,0.33611691022964507,0.16638655462184873,0.030413625304136254,0.49705304518664045,0.34035087719298246,0.5714285714285714,0.31513157894736843,0.354014598540146,0.6957983193277311,0.9647058823529412,0.507563025210084,0.013486842105263158,0.02848722986247544,Гоголь,Мертвые души Том первый
0.22929936305732485,0.15714285714285714,0.2639064475347661,0.26859504132231404,0.125,0.026737967914438502,0.5286849073256841,0.3877805486284289,0.5,0.3059418457648546,0.332620320855615,0.7178571428571429,0.9553571428571429,0.43392857142857144,0.01801517067003793,0.01676963812886143,Гоголь,Мертвые души Том первый
0.2648221343873518,0.1655773420479303,0.2141986593540524,0.36129032258064514,0.3638344226579521,0.03316326530612245,0.7948717948717948,0.3915574963609898,0.6612903225806451,0.283363802559415,0.22874149659863946,0.47058823529411764,0.9651416122004357,0.3769063180827887,0.013711151736745886,0.01282051282051282,Гоголь,Выбранные места из переписки с друзьями
0.15486194477791115,0.1580246913580247,0.27823315118397085,0.31392045454545453,0.12839506172839507,0.02702702702702703,0.49064171122994654,0.34833333333333333,0.6382978723404256,0.3205828779599271,0.3530405405405405,0.7135802469135802,0.9234567901234568,0.5432098765432098,0.020947176684881604,0.0213903743315508,Гоголь,Мертвые души Том первый
0.31967763599731364,0.1411764705882353,0.19480519480519481,0.3425468904244817,0.30823529411764705,0.026390870185449358,0.8295454545454546,0.38189533239038187,0.5420560747663551,0.26848661542539093,0.19258202567760344,0.5505882352941176,0.9741176470588235,0.4258823529411765,0.011661807580174927,0.010606060606060607,Гоголь,Выбранные места из переписки с друзьями
0.31645569620253167,0.16560509554140126,0.19264119990625733,0.3447971781305115,0.3227176220806794,0.03245192307692308,0.9315164220824598,0.34886649874055414,0.5765765765765766,0.26576048746191705,0.16646634615384615,0.5116772823779193,0.9830148619957537,0.4416135881104034,0.014998828216545582,0.009084556254367574,Гоголь,Выбранные места из переписки с друзьями
0.20296570898980537,0.11561866125760649,0.2744151503898997,0.37906976744186044,0.11967545638945233,0.019280205655526992,0.5844155844155844,0.3706777316735823,0.4626865671641791,0.3193464537690308,0.3444730077120823,0.7647058823529411,0.9655172413793104,0.4746450304259635,0.014110657259561827,0.01770956316410862,Гоголь,Портрет
0.29024583663758924,0.11137440758293839,0.2254567977702075,0.42905027932960893,0.3293838862559242,0.03508771929824561,0.9116135662898253,0.38953488372093026,0.6438356164383562,0.2771755961598018,0.22389306599832914,0.5592417061611374,0.9881516587677726,0.42890995260663506,0.012387736141220192,0.0041109969167523125,Гоголь,Выбранные места из переписки с друзьями
0.3081081081081081,0.15835140997830802,0.2059748427672956,0.3603515625,0.3470715835140998,0.032520325203252036,0.9672399672399672,0.3241469816272966,0.6043956043956044,0.26834381551362685,0.1673441734417344,0.4945770065075922,0.982646420824295,0.41865509761388287,0.015461215932914047,0.005733005733005733,Гоголь,Выбранные места из переписки с друзьями
