ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Author,Novel
0.07036466358500257,0.0724191063174114,0.05829481253210067,0.011042629686697484,0.037236774524910116,0.02953261427837699,0.00025680534155110427,0.15305598356445815,0.010015408320493066,0.035695942475603495,0.07678479712378017,0.05546995377503852,0.23677452491011813,0.025166923472008218,0.0,0.12788906009244994,0.0,Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"
0.09248788368336026,0.0840064620355412,0.05714862681744749,0.009087237479806139,0.04240710823909531,0.04745557350565428,0.0,0.20092891760904685,0.015549273021001616,0.03998384491114701,0.0805735056542811,0.021203554119547656,0.17790791599353797,0.024232633279483037,0.0,0.10662358642972536,0.0004038772213247173,Гоголь,Выбранные места из переписки с друзьями
0.04880883207437536,0.07350377687391052,0.05752469494479954,0.008715862870424172,0.0389308541545613,0.029924462521789656,0.001452643811737362,0.152527600232423,0.008134805345729227,0.06624055781522371,0.084253341080767,0.017431725740848343,0.26554328878558975,0.021208599651365484,0.0,0.12579895409645556,0.0,Гоголь,Мертвые души Том первый
0.09742607955754094,0.07594128908742821,0.059349074664964904,0.008083386513507764,0.042756860242501596,0.061689002339927676,0.0,0.17783450329717082,0.009359710699851096,0.0538183365241438,0.08572644118272708,0.007870665815783875,0.16932567538821527,0.02722824930865773,0.0,0.12359072537757924,0.0,Гоголь,Выбранные места из переписки с друзьями
0.08691529709228825,0.08849557522123894,0.06020859671302149,0.011852085967130215,0.04029709228824273,0.06115676359039191,0.0,0.18710493046776233,0.009639696586599241,0.046618204804045514,0.08154235145385588,0.01643489254108723,0.16355878634639698,0.03002528445006321,0.0,0.1161504424778761,0.0,Гоголь,Выбранные места из переписки с друзьями
0.07078284285439508,0.07578380457780343,0.0578957491825351,0.009809578765147143,0.05327947682246586,0.03327562992883247,0.0013464127716868628,0.18003462204270052,0.01154068090017311,0.044431621465666475,0.06732063858434315,0.01865743412194653,0.2285054818234276,0.01788805539526832,0.0,0.1294479707636084,0.0,Гоголь,Мертвые души Том первый
0.09336133096430302,0.08528509126150864,0.06008722338879018,0.011629785172023906,0.04474236795348086,0.06137942174123728,0.00032304958811177516,0.18429979001776772,0.009691487643353255,0.049103537392989824,0.08366984332094976,0.009853012437409143,0.15877887255693748,0.02939751251817154,0.0,0.1183976740429656,0.0,Гоголь,Выбранные места из переписки с друзьями
0.05510968432316747,0.07936507936507936,0.06581059390048154,0.014446227929373997,0.043873729266987696,0.03192438023898698,0.002318530408418049,0.1653290529695024,0.010700909577314071,0.056179775280898875,0.07615480649188515,0.015873015873015872,0.21366149456037095,0.027822364901016586,0.0,0.14143035491350098,0.0,Гоголь,Мертвые души Том первый
0.0634301913536499,0.0776045357902197,0.06874557051736357,0.01824946846208363,0.04411764705882353,0.030829199149539334,0.0005315379163713678,0.18125442948263643,0.01151665485471297,0.04730687455705174,0.06520198440822111,0.023564847625797306,0.21598157335223245,0.024273564847625797,0.0,0.12721474131821403,0.00017717930545712261,Гоголь,Мертвые души Том первый
0.07872606906423331,0.08123098944354983,0.06029701198783324,0.011808910359634998,0.042583646448380745,0.059939166219359456,0.0,0.1789228842368939,0.015745213812846662,0.05296117373412059,0.08552513866523528,0.01878690284487386,0.1676507425299696,0.02755412417248166,0.0,0.11826802648058686,0.0,Гоголь,Выбранные места из переписки с друзьями
0.05580693815987934,0.07013574660633484,0.06611362493715435,0.013826043237807943,0.03443941679235797,0.03544494720965309,0.0015082956259426848,0.16465560583207642,0.007792860734037205,0.042735042735042736,0.07013574660633484,0.02262443438914027,0.24132730015082957,0.02815485168426345,0.0,0.1452991452991453,0.0,Гоголь,Мертвые души Том первый
0.09359217171717171,0.0855429292929293,0.05997474747474747,0.006313131313131313,0.04182449494949495,0.05839646464646465,0.0,0.19491792929292928,0.01278409090909091,0.04640151515151515,0.07970328282828283,0.01893939393939394,0.16777146464646464,0.022885101010101012,0.0,0.11047979797979798,0.0004734848484848485,Гоголь,Выбранные места из переписки с друзьями
0.09910539558289069,0.08261112664243779,0.057729941291585124,0.007548224769359799,0.043332401453732176,0.06388034665921163,0.0,0.18786692759295498,0.01048364551299972,0.04976237070170534,0.08149287112105116,0.015236231478892926,0.16452334358400894,0.024182275649986023,0.0,0.11182555213866369,0.0004193458205199888,Гоголь,Выбранные места из переписки с друзьями
0.06257901390644753,0.08702064896755163,0.06257901390644753,0.016645596291613992,0.040455120101137804,0.03497682258744206,0.00042140750105351877,0.17130214917825537,0.007796038769490097,0.04677623261694058,0.08680994521702487,0.008006742520016857,0.20712178676780446,0.021913190054782976,0.0,0.14559629161399074,0.0,Гоголь,Портрет
0.0843263061411549,0.07992667277726856,0.06544454628780935,0.015948670944087993,0.04454628780934922,0.06379468377635197,0.00018331805682859762,0.16278643446379468,0.010999083409715857,0.053712190650779104,0.09899175068744272,0.011182401466544454,0.15875343721356552,0.026397800183318058,0.0,0.123006416131989,0.0,Гоголь,Выбранные места из переписки с друзьями
0.09766054325639818,0.07913330193122939,0.05793688177107866,0.008321557544355472,0.04239284032030146,0.0659444182760245,0.0,0.18181818181818182,0.009734652221698854,0.053697597739048517,0.08525671219971738,0.010205683780813315,0.16250588789448894,0.024493641073951956,0.0,0.12089810017271158,0.0,Гоголь,Выбранные места из переписки с друзьями
