AdjTurnover,AgreementPB,AppealConstruction,ComplicatedByApplication,ComplicatedByHomogeneous,ContiguityPB,ControlPB,CoordinationPB,DefinetelyPersonal,Genitive,Infinitive,InsertConstruction,InterjectionConstruction,IntroConstruction,Nominative,NotSeparatedSentences,SingleCompose,UnPersonal,UndefinetelyPersonal,Vocative,advphr,comphr,nomphr,participle,simlphr,syntaxNonFreePhrases,verbalAdverb,verbphr,Author,Novel
0.02546296296296296,0.060807600950118765,0.004629629629629629,0.004629629629629629,0.19907407407407407,0.10498812351543943,0.10593824228028503,0.09643705463182897,0.06712962962962964,0.0023148148148148147,0.013888888888888888,0.14583333333333334,0.0,0.023148148148148147,0.02546296296296296,0.013888888888888888,0.5023148148148148,0.016203703703703703,0.0625,0.0,0.025653206650831355,0.22945368171021377,0.1534441805225653,0.0023148148148148147,0.7705463182897863,0.0023752969121140144,0.018518518518518517,0.1496437054631829,Бианки,Как я хотел зайцу соли на хвост насыпать
0.03580562659846547,0.10402833111996458,0.0,0.011508951406649617,0.21611253196930946,0.0971668880035414,0.15582115980522354,0.1086764054891545,0.016624040920716114,0.0038363171355498722,0.005115089514066497,0.05754475703324808,0.0,0.011508951406649617,0.014066496163682864,0.0012787723785166241,0.5,0.015345268542199489,0.05754475703324808,0.0012787723785166241,0.017928286852589643,0.22332890659583887,0.18016821602478972,0.0038363171355498722,0.7766710934041612,0.0037627268702965914,0.01278772378516624,0.15427180168216026,Бианки,Мышонок Пик
0.034912718204488775,0.10512970548078798,0.003740648379052369,0.03865336658354115,0.24688279301745636,0.08816071776867564,0.1521357519016969,0.09401209284181783,0.032418952618453865,0.004987531172069825,0.00997506234413965,0.08977556109725686,0.0,0.016209476309226933,0.02493765586034913,0.0024937655860349127,0.5,0.012468827930174564,0.06733167082294264,0.0012468827930174563,0.015213575190169689,0.22703335283791692,0.17944216890969378,0.007481296758104738,0.7729666471620831,0.002925687536571094,0.03117206982543641,0.15603666861712503,Бианки,Егоркины заботы
0.03048780487804878,0.061691542288557215,0.03048780487804878,0.006097560975609756,0.25,0.09154228855721393,0.11641791044776119,0.10149253731343283,0.11585365853658537,0.006097560975609756,0.03048780487804878,0.13414634146341464,0.0,0.042682926829268296,0.04878048780487805,0.0,0.5060975609756098,0.036585365853658534,0.024390243902439025,0.006097560975609756,0.014925373134328358,0.22487562189054727,0.16019900497512438,0.006097560975609756,0.7751243781094528,0.001990049751243781,0.006097560975609756,0.1472636815920398,Бианки,Чьи это ноги
0.016597510373443983,0.09130434782608696,0.02074688796680498,0.058091286307053944,0.23029045643153526,0.08181818181818182,0.11739130434782609,0.08142292490118577,0.03112033195020747,0.004149377593360996,0.014522821576763486,0.13070539419087138,0.004149377593360996,0.026970954356846474,0.06431535269709543,0.01037344398340249,0.5,0.01867219917012448,0.0975103734439834,0.006224066390041493,0.014624505928853756,0.22885375494071147,0.18498023715415018,0.004149377593360996,0.7711462450592885,0.0031620553359683794,0.008298755186721992,0.14387351778656127,Бианки,Латка
0.03459821428571429,0.10595647193585338,0.0,0.014508928571428572,0.21651785714285715,0.09698358151966399,0.1563573883161512,0.10805651011836578,0.014508928571428572,0.0033482142857142855,0.006696428571428571,0.05580357142857143,0.0,0.011160714285714286,0.012276785714285714,0.0011160714285714285,0.5,0.013392857142857142,0.05803571428571429,0.0011160714285714285,0.016227567773959527,0.2224131347842688,0.18327605956471935,0.005580357142857143,0.7775868652157312,0.0038182512409316535,0.011160714285714286,0.15444826269568537,Бианки,Мышонок Пик
0.019230769230769232,0.0850251256281407,0.008547008547008548,0.023504273504273504,0.21901709401709402,0.10291457286432161,0.11276381909547739,0.07839195979899498,0.05982905982905983,0.011752136752136752,0.018162393162393164,0.13034188034188035,0.003205128205128205,0.0202991452991453,0.041666666666666664,0.005341880341880342,0.4967948717948718,0.027777777777777776,0.042735042735042736,0.004273504273504274,0.027135678391959798,0.22814070351758794,0.17587939698492464,0.004273504273504274,0.771859296482412,0.002412060301507538,0.009615384615384616,0.13326633165829146,Бианки,Прятки
0.013888888888888888,0.10035714285714285,0.0,0.013888888888888888,0.1840277777777778,0.08321428571428571,0.13642857142857143,0.09321428571428571,0.0763888888888889,0.012152777777777778,0.010416666666666666,0.08506944444444445,0.0,0.017361111111111112,0.04513888888888889,0.001736111111111111,0.5,0.017361111111111112,0.046875,0.001736111111111111,0.018571428571428572,0.22607142857142856,0.19535714285714287,0.005208333333333333,0.7739285714285714,0.0025,0.008680555555555556,0.13392857142857142,Бианки,Мой хитрый сынишка
0.010471204188481676,0.09643916913946587,0.013089005235602094,0.015706806282722512,0.2198952879581152,0.08110781404549951,0.16023738872403562,0.10435212660731949,0.034031413612565446,0.0,0.005235602094240838,0.028795811518324606,0.0,0.007853403141361256,0.01832460732984293,0.0,0.4973821989528796,0.013089005235602094,0.09162303664921466,0.002617801047120419,0.013847675568743818,0.21909000989119684,0.17556874381800197,0.0,0.7809099901088031,0.0019782393669634025,0.010471204188481676,0.16023738872403562,Бианки,Кукушонок
0.018,0.08131550415612576,0.002,0.018,0.226,0.11076978677267799,0.11275749909649439,0.07896638959161546,0.057,0.011,0.022,0.151,0.003,0.028,0.04,0.003,0.499,0.025,0.043,0.003,0.027285869172388868,0.22714130827611131,0.18178532706902784,0.003,0.7728586917238887,0.005059631369714492,0.009,0.13173111673292373,Бианки,Прятки
