AdjTurnover,AgreementPB,AppealConstruction,ComplicatedByApplication,ComplicatedByHomogeneous,ContiguityPB,ControlPB,CoordinationPB,InsertConstruction,InterjectionConstruction,IntroConstruction,Nominative,NotSeparatedSentences,Vocative,advphr,comphr,nomphr,participle,simlphr,syntaxNonFreePhrases,verbalAdverb,verbphr,Author,Novel
0.116,0.19641626464507236,0.002,0.03,0.26,0.06547208821502412,0.12146795313576844,0.08787043418332184,0.034,0.0,0.03,0.0,0.002,0.004,0.012405237767057202,0.23621640248104755,0.18435561681598897,0.024,0.7637835975189524,0.012922122674017919,0.09,0.11388697450034459,Wilkie Collins,The Queen of Hearts
0.05,0.17766051011433598,0.004,0.032,0.154,0.05716798592788039,0.1123570800351803,0.09762532981530343,0.034,0.004,0.028,0.0,0.004,0.01,0.007475813544415127,0.23350923482849603,0.16248900615655232,0.008,0.7664907651715039,0.026824978012313105,0.032,0.1092788038698329,Wilkie Collins,The Moonstone
0.164,0.1995760639165172,0.004,0.024,0.266,0.060329365726398174,0.11788684167617805,0.0820153269199413,0.054,0.0,0.022,0.0,0.002,0.0,0.011576716125876406,0.24506766672101746,0.19924995923691505,0.026,0.7549323332789826,0.014674710582096854,0.06,0.10614707321050057,Wilkie Collins,The Queen of Hearts
0.088,0.1747144860749349,0.004,0.016,0.192,0.05409737527549589,0.1268282909236626,0.08855940693247846,0.036,0.0,0.016,0.0,0.0,0.02,0.008214786615908635,0.23943097575636146,0.17812061711079943,0.016,0.7605690242436386,0.022240032057703866,0.066,0.121418553396113,Wilkie Collins,The Moonstone
0.156,0.19035987624165446,0.008,0.038,0.238,0.049666178146881616,0.1317375020354991,0.09200455951799381,0.072,0.0,0.022,0.0,0.008,0.01,0.010910275199478913,0.243771372740596,0.18140368018238073,0.03,0.756228627259404,0.012050154697931933,0.06,0.12017586712261846,Wilkie Collins,The Queen of Hearts
0.028,0.15138092756644086,0.0,0.018,0.158,0.047420531526836895,0.13001563314226158,0.10786868160500261,0.03,0.0,0.014,0.0,0.018,0.004,0.009640437727983325,0.23814486711829078,0.16883793642522146,0.002,0.7618551328817093,0.009379885356956748,0.024,0.12845231891610215,Wilkie Collins,The Law and the Lady
0.066,0.16120218579234974,0.006,0.02,0.172,0.047078604455653636,0.13829340058848255,0.09478772593526692,0.038,0.0,0.008,0.0,0.0,0.008,0.010508617065994116,0.2364438839848676,0.1664564943253468,0.016,0.7635561160151324,0.014501891551071878,0.066,0.12168978562421186,Wilkie Collins,The Moonstone
0.036,0.14036939313984167,0.0,0.016,0.126,0.051451187335092345,0.13799472295514512,0.10844327176781003,0.036,0.0,0.014,0.0,0.004,0.014,0.008970976253298154,0.22585751978891822,0.1612137203166227,0.008,0.7741424802110818,0.009762532981530342,0.026,0.12137203166226913,Wilkie Collins,The Law and the Lady
0.02,0.18195193722412947,0.004,0.012,0.132,0.0571358509073075,0.12604217753800884,0.09440902403138794,0.026,0.0,0.024,0.0,0.002,0.006,0.008092202059833251,0.24203040706228543,0.16674840608141245,0.002,0.7579695929377146,0.0230505149583129,0.024,0.11819519372241295,Wilkie Collins,The Moonstone
0.14,0.19256372787790227,0.008,0.036,0.248,0.059912323429128105,0.11625263841532717,0.08296801428803377,0.034,0.0,0.02,0.0,0.004,0.006,0.011690209449585971,0.2428965741191752,0.17957460626725116,0.022,0.7571034258808248,0.018996590355577204,0.072,0.10342588082480922,Wilkie Collins,The Queen of Hearts
0.09,0.15668494306199915,0.008,0.012,0.148,0.04913538591311683,0.13053563897089834,0.10037958667229017,0.034,0.0,0.01,0.0,0.006,0.016,0.009489666807254323,0.23681990721214677,0.15373260227752003,0.01,0.7631800927878533,0.02066638549135386,0.048,0.1172501054407423,Wilkie Collins,The Moonstone
0.06,0.1663723759073965,0.006,0.034,0.198,0.055719050421816754,0.13360800470865214,0.10319795958406906,0.06,0.0,0.034,0.0,0.002,0.008,0.009221110457131646,0.24288797331763784,0.1783402001177163,0.012,0.7571120266823622,0.014910731803021385,0.032,0.11673533451049636,Wilkie Collins,The Law and the Lady
0.07,0.21559362079149438,0.004,0.042,0.178,0.05060051191179366,0.12207127387280961,0.08584367001378224,0.014,0.002,0.02,0.0,0.008,0.002,0.00689112029927151,0.24453632604843473,0.18743847214018508,0.018,0.7554636739515652,0.021264028352037802,0.038,0.10966725733412089,Wilkie Collins,The Law and the Lady
0.054,0.17190635451505018,0.006,0.024,0.152,0.046822742474916385,0.1302118171683389,0.09498327759197324,0.046,0.0,0.02,0.0,0.012,0.01,0.008695652173913044,0.23255295429208472,0.16856187290969898,0.008,0.7674470457079152,0.021627647714604237,0.028,0.11237458193979934,Wilkie Collins,The Moonstone
0.048,0.14805775879601382,0.008,0.026,0.188,0.059589180394549524,0.12649989831197886,0.10067114093959731,0.046,0.0,0.012,0.0,0.02,0.012,0.009151921903599756,0.23449257677445598,0.1596501932072402,0.016,0.765507423225544,0.019117347976408378,0.044,0.11897498474679682,Wilkie Collins,The Moonstone
0.142,0.16383518843975786,0.01,0.032,0.222,0.05604374145674673,0.11989845733255224,0.09412224174965828,0.062,0.002,0.028,0.0,0.004,0.01,0.010740089826205819,0.2325717633274751,0.16793595000976372,0.018,0.7674282366725249,0.018746338605741066,0.078,0.11286858035539933,Wilkie Collins,The Moonstone
0.03,0.127537889619674,0.0,0.016,0.112,0.05976551329711181,0.13840434658278525,0.1100943665999428,0.028,0.0,0.012,0.0,0.014,0.018,0.010294538175579068,0.22790963683156992,0.1489848441521304,0.006,0.77209036316843,0.01315413211323992,0.024,0.1298255647698027,Wilkie Collins,The Law and the Lady
0.04,0.1532541776605101,0.004,0.022,0.124,0.04991204925241865,0.13522427440633245,0.09410729991204925,0.048,0.002,0.02,0.0,0.008,0.01,0.009894459102902375,0.23768689533861037,0.16051011433597184,0.006,0.7623131046613896,0.014511873350923483,0.03,0.12225153913808268,Wilkie Collins,The Law and the Lady
0.094,0.17070335206355358,0.002,0.016,0.186,0.05599689982561519,0.12400697539236583,0.08951753536136407,0.044,0.0,0.024,0.0,0.0,0.02,0.009881805851579151,0.23968223212555706,0.17632241813602015,0.022,0.7603177678744429,0.02305754698701802,0.078,0.1220693664018601,Wilkie Collins,The Moonstone
0.046,0.14849031095087878,0.01,0.024,0.138,0.046642631816133394,0.12460567823343849,0.09193330328977016,0.04,0.0,0.008,0.0,0.006,0.012,0.0067598017124831005,0.22712933753943218,0.15592609283461017,0.006,0.7728706624605678,0.02365930599369085,0.032,0.11829652996845426,Wilkie Collins,The Moonstone
0.102,0.17190929041697148,0.008,0.026,0.194,0.05504754937820044,0.1250914411119239,0.09162399414776884,0.056,0.0,0.022,0.0,0.004,0.006,0.010241404535479151,0.2368324798829554,0.1623994147768837,0.03,0.7631675201170446,0.0239575713240673,0.072,0.11795903438185808,Wilkie Collins,The Moonstone
0.052,0.18680641183723798,0.002,0.022,0.2,0.04911631730374024,0.1319358816276202,0.09001233045622688,0.028,0.0,0.008,0.0,0.002,0.014,0.007603781339909577,0.24722564734895192,0.17509247842170161,0.02,0.7527743526510481,0.02383888203863543,0.02,0.11878339498561447,Wilkie Collins,The Law and the Lady
0.122,0.18438381937911572,0.012,0.042,0.202,0.04797742238946378,0.12229539040451552,0.09313264346190028,0.036,0.0,0.032,0.0,0.002,0.008,0.006773283160865475,0.2374412041392286,0.16726246472248354,0.02,0.7625587958607714,0.019567262464722485,0.062,0.11439322671683913,Wilkie Collins,The Moonstone
