action descriptiveness,action feature,descriptiveness,dynamism,number,pass voice,past tense,present tense,pronominal_replacement,real modality,Author,Novel
0.6299435028248587,0.320863309352518,0.4320987654320988,0.14968287526427054,0.08847736625514403,212.85310734463275,0.8648648648648649,0.13513513513513514,0.4123337363966143,1141.6666666666665,Agatha Christie,And Then There Were None
0.533132530120482,0.3041237113402062,0.4654255319148936,0.16861350939563233,0.06914893617021277,70.33734939759036,0.8064516129032258,0.1935483870967742,0.43543543543543545,1608.9668674698796,Agatha Christie,And Then There Were None
0.5347432024169184,0.29207920792079206,0.454326923076923,0.1649227703039362,0.11057692307692307,97.07250755287009,0.8723404255319149,0.1276595744680851,0.41076487252124644,1473.7371601208458,Agatha Christie,And Then There Were None
0.4364820846905537,0.28270042194092826,0.31843575418994413,0.16933259790402652,0.09776536312849161,86.93811074918567,0.8559670781893004,0.1440329218106996,0.43174603174603177,1660.5179153094464,Agatha Christie,And Then There Were None
0.41916167664670656,0.3083700440528634,0.3240740740740741,0.18321448162369725,0.07098765432098765,163.23353293413174,0.7931034482758621,0.20689655172413793,0.5135135135135136,1567.0419161676646,Agatha Christie,And Then There Were None
0.5205479452054795,0.35514018691588783,0.32621951219512196,0.17505995203836933,0.05182926829268293,95.60958904109589,0.7964601769911505,0.20353982300884957,0.5126300148588411,1521.0616438356165,Agatha Christie,And Then There Were None
0.628125,0.375,0.37183098591549296,0.17139796464916981,0.05070422535211268,86.0,0.8738738738738738,0.12612612612612611,0.45131375579598143,1023.4,Agatha Christie,And Then There Were None
0.3935483870967742,0.3128205128205128,0.33222591362126247,0.19041769041769044,0.07641196013289035,56.02258064516129,0.7655502392344498,0.23444976076555024,0.4949664429530201,1280.516129032258,Agatha Christie,And Then There Were None
0.5325077399380804,0.37885462555066074,0.40202702702702703,0.18352272727272734,0.0945945945945946,74.08978328173374,0.7105263157894737,0.2894736842105263,0.5360501567398119,1473.56346749226,Agatha Christie,And Then There Were None
0.47648902821316613,0.31020408163265306,0.4631901840490798,0.16914103923647936,0.0950920245398773,133.77742946708463,0.7520661157024794,0.24793388429752067,0.5,1667.7586206896551,Agatha Christie,And Then There Were None
0.6257309941520468,0.43762781186094074,0.3626373626373626,0.19542857142857142,0.0695970695970696,92.10526315789474,0.7707509881422925,0.22924901185770752,0.5480132450331127,1458.3333333333333,Agatha Christie,And Then There Were None
0.47605633802816905,0.32815533980582523,0.3958333333333333,0.19158121964382077,0.09523809523809523,46.800000000000004,0.8157894736842105,0.18421052631578946,0.4782608695652174,1778.4,Agatha Christie,And Then There Were None
0.4754521963824289,0.3145299145299145,0.3341708542713568,0.17606915377616014,0.07035175879396985,193.8656330749354,0.7601351351351351,0.23986486486486486,0.4776902887139107,1778.5064599483203,Agatha Christie,And Then There Were None
0.46153846153846156,0.3387096774193548,0.3323943661971831,0.18291457286432164,0.09859154929577466,105.92857142857143,0.7366412213740458,0.2633587786259542,0.507628294036061,1645.967032967033,Agatha Christie,And Then There Were None
0.443213296398892,0.311284046692607,0.34564643799472294,0.18675633729953445,0.07651715039577837,103.85595567867036,0.7896678966789668,0.21033210332103322,0.4570200573065903,1621.7506925207756,Agatha Christie,And Then There Were None
0.46511627906976744,0.3562340966921119,0.30844155844155846,0.17895362663495837,0.06493506493506493,61.32558139534884,0.7357512953367875,0.26424870466321243,0.5149606299212599,1208.9900332225914,Agatha Christie,And Then There Were None
0.47530864197530864,0.2938931297709924,0.373134328358209,0.16658097686375323,0.09950248756218906,224.92283950617283,0.7966804979253111,0.2033195020746888,0.456021650879567,1466.4969135802469,Agatha Christie,And Then There Were None
0.48648648648648646,0.3544857768052516,0.2857142857142857,0.19439579684763572,0.10793650793650793,119.23423423423422,0.865546218487395,0.13445378151260504,0.4943820224719101,1414.9129129129128,Agatha Christie,And Then There Were None
0.6201298701298701,0.40552016985138006,0.343859649122807,0.18632788868723532,0.10175438596491228,122.53246753246754,0.8285714285714286,0.17142857142857143,0.5077720207253885,1110.961038961039,Agatha Christie,And Then There Were None
0.5156695156695157,0.38428874734607216,0.2974683544303797,0.1961989938513136,0.07278481012658228,137.8974358974359,0.8359375,0.1640625,0.5138461538461538,1463.2450142450143,Agatha Christie,And Then There Were None
0.4674556213017752,0.3752969121140142,0.39285714285714285,0.19742990654205608,0.07539682539682539,54.84023668639053,0.7304347826086957,0.26956521739130435,0.5895765472312704,1449.3491124260356,Agatha Christie,And Then There Were None
0.5924657534246575,0.3696581196581196,0.5076923076923077,0.1842271293375394,0.061538461538461535,42.31164383561644,0.8405797101449275,0.15942028985507245,0.5332136445242369,1337.0479452054794,Agatha Christie,And Then There Were None
0.5026881720430108,0.3333333333333333,0.309823677581864,0.17302325581395347,0.08816120906801007,297.22580645161287,0.8315018315018315,0.1684981684981685,0.4720744680851064,1739.6451612903224,Agatha Christie,And Then There Were None
0.369047619047619,0.2080536912751678,0.3135593220338983,0.16406250000000003,0.06779661016949153,68.57142857142857,0.6222222222222222,0.37777777777777777,0.41,231.42857142857142,Agatha Christie,And Then There Were None
0.5243553008595989,0.31228668941979526,0.4426229508196721,0.17124631992149164,0.03747072599531616,121.98853868194843,0.7148760330578512,0.28512396694214875,0.5005847953216374,1498.7163323782236,Agatha Christie,The Murder on the Links
0.4796747967479675,0.29648241206030146,0.38106235565819857,0.16965517241379308,0.04157043879907621,118.72628726287263,0.706140350877193,0.29385964912280704,0.4899882214369846,1516.0433604336044,Agatha Christie,The Murder on the Links
