Абстрактность,Будущее,Динамичность,Местоименная замена,Настоящее,Обобщенность действия,Описательность,Описательность действия,Пассив,Предметность,Признак действия,Прошедшее,Реальная модальность,Совершенность действия,Состояние,Численность,Author,Novel
0.14516129032258066,0.2368815592203898,0.26044492674986436,0.31501230516817064,0.22488755622188905,0.013307984790874524,0.5709728867623605,0.34660925726587727,0.5113636363636364,0.33071079761258815,0.3060836501901141,0.5382308845577212,0.9160419790104948,0.5037481259370314,0.013564839934888768,0.03668261562998405,Гоголь,Мертвые души Том первый
0.12380952380952381,0.2440677966101695,0.27790736421192935,0.3922924901185771,0.19322033898305085,0.020278833967046894,0.5298429319371728,0.3248175182481752,0.43478260869565216,0.3372209263578807,0.33840304182509506,0.5627118644067797,0.8864406779661017,0.4915254237288136,0.012662445851382872,0.028272251308900525,Гоголь,Мертвые души Том первый
0.2770408163265306,0.17664670658682635,0.21285060672369208,0.36273817925194074,0.38622754491017963,0.03399122807017544,0.8117505995203836,0.39611650485436894,0.5979381443298969,0.28187785955838474,0.2236842105263158,0.437125748502994,0.9625748502994012,0.37425149700598803,0.01392480604734434,0.012589928057553957,Гоголь,Выбранные места из переписки с друзьями
0.13107996702390767,0.19056261343012704,0.2684405523745369,0.3301707779886148,0.1996370235934664,0.028871391076115485,0.4753146176185866,0.31800766283524906,0.7241379310344828,0.35500168406871,0.32677165354330706,0.6098003629764065,0.9165154264972777,0.5281306715063521,0.013472549680026945,0.028073572120038724,Гоголь,Мертвые души Том первый
0.1377049180327869,0.16908212560386474,0.25268566090611866,0.4347275031685678,0.34782608695652173,0.010256410256410256,0.5655487804878049,0.38661710037174724,0.8235294117647058,0.36851938346567026,0.35555555555555557,0.4830917874396135,0.9734299516908212,0.39855072463768115,0.015413358243811303,0.009146341463414634,Гоголь,Записки сумасшедшего
0.1445945945945946,0.21706586826347304,0.26010957474563007,0.2938388625592417,0.2125748502994012,0.013574660633484163,0.5662376987130961,0.3536711478800414,0.5118110236220472,0.33028959039916517,0.3095022624434389,0.5703592814371258,0.9146706586826348,0.4880239520958084,0.014349073832507175,0.03406510219530658,Гоголь,Мертвые души Том первый
0.11959287531806616,0.2126865671641791,0.26899592944369066,0.31888246628131023,0.1791044776119403,0.02132998745294856,0.5039447731755424,0.34487179487179487,0.5256410256410257,0.3521031207598372,0.33751568381430364,0.6082089552238806,0.914179104477612,0.5373134328358209,0.009497964721845319,0.01972386587771203,Гоголь,Мертвые души Том первый
0.11201962387571546,0.16161616161616163,0.2504590525156078,0.2918968692449355,0.21818181818181817,0.012461059190031152,0.3931297709923664,0.33084947839046197,0.75,0.39882482556004406,0.34579439252336447,0.6202020202020202,0.9373737373737374,0.4626262626262626,0.01652589056188028,0.019083969465648856,Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"
0.16253263707571802,0.17391304347826086,0.26352757544224764,0.2572096648480125,0.11921458625525946,0.017769002961500493,0.4389233954451346,0.3604417670682731,0.5833333333333334,0.3337669094693028,0.3543928923988154,0.7068723702664796,0.9340813464235624,0.5427769985974754,0.016389177939646202,0.01932367149758454,Гоголь,Мертвые души Том первый
0.13973799126637554,0.1931407942238267,0.27620049071153174,0.3411167512690355,0.2111913357400722,0.030344827586206897,0.4860392967942089,0.3014230271668823,0.6981132075471698,0.34525061338941465,0.3213793103448276,0.5956678700361011,0.9133574007220217,0.5324909747292419,0.017875920084121977,0.028955532574974147,Гоголь,Мертвые души Том первый
0.32239925023430177,0.22366522366522368,0.22246142805884464,0.39764868603042874,0.36507936507936506,0.018728437654016758,0.8785151856017998,0.36541737649063033,0.6461538461538462,0.25941872981700753,0.2114342040413997,0.41125541125541126,0.9711399711399712,0.3838383838383838,0.016146393972012917,0.00281214848143982,Гоголь,Выбранные места из переписки с друзьями
0.19933738266151296,0.14199759326113118,0.259428097803564,0.2924137931034483,0.30685920577617326,0.01757944557133198,0.6040914560770156,0.3698517298187809,0.5727272727272728,0.3004558640696229,0.3035835023664638,0.5511432009626955,0.9651022864019254,0.4368231046931408,0.014504765851636967,0.01684717208182912,Гоголь,Мертвые души Том первый
0.17512437810945275,0.11153358681875793,0.23662511984659634,0.2189384800965018,0.1596958174904943,0.018691588785046728,0.5909814323607427,0.4744341994970662,0.6,0.31792905081495687,0.33060747663551404,0.7287705956907478,0.9619771863117871,0.3865652724968314,0.010546500479386385,0.03183023872679045,Гоголь,Мертвые души Том первый
0.11396743787489289,0.209009009009009,0.27352742044685174,0.32688588007736946,0.17477477477477477,0.018867924528301886,0.513595166163142,0.33962264150943394,0.5256410256410257,0.35003385240352064,0.33962264150943394,0.6162162162162163,0.9171171171171171,0.5441441441441441,0.009478672985781991,0.025176233635448138,Гоголь,Мертвые души Том первый
0.14583333333333334,0.1610738255033557,0.2515432098765432,0.2604529616724739,0.1610738255033557,0.01893095768374165,0.48097165991902835,0.36283185840707965,0.7291666666666666,0.35432098765432096,0.3195991091314031,0.6778523489932886,0.9412751677852349,0.4949664429530201,0.009567901234567902,0.015384615384615385,Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"
0.25202839756592293,0.3078982597054886,0.23962379881414844,0.39661016949152544,0.2717536813922356,0.029174425822470516,0.7682767624020888,0.34066901408450706,0.5833333333333334,0.3015743201799223,0.24022346368715083,0.4203480589022758,0.8728246318607764,0.40829986613119146,0.019218973625025556,0.01762402088772846,Гоголь,Выбранные места из переписки с друзьями
