AdjTurnover,AgreementPB,AppealConstruction,ComplicatedByApplication,ComplicatedByHomogeneous,ContiguityPB,ControlPB,CoordinationPB,InsertConstruction,InterjectionConstruction,IntroConstruction,Nominative,NotSeparatedSentences,Vocative,advphr,comphr,nomphr,participle,simlphr,syntaxNonFreePhrases,verbalAdverb,verbphr,Author,Novel
0.37625,0.19356950607405252,0.01125,0.075,0.30125,0.05266603622608569,0.11267912999199825,0.08489124899978177,0.08125,0.0025,0.03125,0.0,0.00125,0.0125,0.008947406706917873,0.2362697315777988,0.1748745180766713,0.05375,0.7637302684222012,0.029024514439514076,0.18875,0.10664144904342766,George Eliot,Adam Bede
0.245,0.189987888574889,0.00875,0.06125,0.265,0.05240209931368591,0.112636253532499,0.09245054501413,0.095,0.00125,0.02,0.0,0.00375,0.0175,0.008558740411788454,0.2373031893419459,0.17198223657650383,0.045,0.7626968106580541,0.023980621719822365,0.14125,0.10867985466289867,George Eliot,"Felix Holt, the Radical"
0.305,0.1821112610586295,0.02375,0.055,0.27375,0.05982905982905983,0.11283550757234968,0.09266756635177688,0.10625,0.0025,0.0525,0.0,0.0025,0.03375,0.008022192232718548,0.23256860098965362,0.16824111560953667,0.04875,0.7674313990103464,0.0248163142899985,0.20875,0.1090868196131354,George Eliot,The Mill on the Floss
0.18875,0.15875049270792274,0.015,0.0475,0.24375,0.05469057942451715,0.11480094599921167,0.10199054000788332,0.10375,0.00125,0.01875,0.0,0.00875,0.0375,0.006897910918407568,0.23137564052029957,0.1603271580607016,0.01875,0.7686243594797004,0.018624359479700432,0.10875,0.12051635790303508,George Eliot,The Mill on the Floss
0.20625,0.1683760683760684,0.0125,0.03625,0.24875,0.06220322886989554,0.11804368471035137,0.09449192782526115,0.0975,0.0,0.03875,0.0,0.0025,0.015,0.009591642924976258,0.23076923076923078,0.16552706552706553,0.0225,0.7692307692307693,0.017568850902184234,0.1275,0.11433998100664768,George Eliot,The Mill on the Floss
0.24,0.19212730318257956,0.015,0.06875,0.27375,0.05209380234505863,0.11197654941373535,0.08953098827470687,0.115,0.0025,0.03125,0.0,0.00375,0.015,0.010217755443886097,0.2367671691792295,0.17855946398659966,0.04875,0.7632328308207705,0.023953098827470688,0.11625,0.10644891122278057,George Eliot,Adam Bede
0.13,0.16335779024600777,0.00875,0.0475,0.22625,0.05934397928355632,0.11512731981009927,0.09721622788088045,0.05125,0.00125,0.02375,0.0,0.005,0.01625,0.010681916271040138,0.22971514889943892,0.15742339231765215,0.02125,0.7702848511005611,0.024816573154941735,0.06875,0.11361674579197238,George Eliot,"Felix Holt, the Radical"
0.195,0.16253416634127293,0.02125,0.0275,0.21125,0.05993752440452948,0.12631784459195627,0.09195626708317063,0.08125,0.00125,0.03875,0.0,0.0025,0.01125,0.008590394377196407,0.23379539242483405,0.16272940257711832,0.0175,0.766204607575166,0.01708317063647013,0.11375,0.11899648574775479,George Eliot,The Mill on the Floss
0.185,0.19071076706544687,0.00625,0.0475,0.23875,0.05242786769880366,0.11576354679802955,0.08831808585503166,0.0675,0.0,0.02125,0.0,0.00375,0.015,0.008884588318085855,0.2378606615059817,0.18472906403940886,0.03125,0.7621393384940183,0.020320197044334975,0.11,0.10476776917663617,George Eliot,"Felix Holt, the Radical"
0.2275,0.18838862559241706,0.005,0.0425,0.25125,0.05678740690589032,0.1226303317535545,0.09174001354096141,0.08625,0.0,0.0525,0.0,0.0,0.02375,0.008632362897765741,0.2377285037237644,0.17916384563303994,0.04125,0.7622714962762356,0.017349356804333107,0.1225,0.10892010832769126,George Eliot,The Mill on the Floss
0.23875,0.16298245614035087,0.0175,0.04625,0.25375,0.05894736842105263,0.11385964912280702,0.09026315789473684,0.085,0.00125,0.03625,0.0,0.0025,0.0425,0.01,0.23280701754385966,0.16464912280701754,0.03375,0.7671929824561403,0.02894736842105263,0.1275,0.11324561403508772,George Eliot,The Mill on the Floss
0.2625,0.18284081778412642,0.00375,0.06,0.26375,0.05097759128649228,0.10891884653155968,0.09677707347558254,0.06,0.00125,0.025,0.0,0.0025,0.01,0.008392107847513614,0.2378359075082582,0.18578698330506205,0.0325,0.7621640924917418,0.01678421569502723,0.10625,0.10650834746897599,George Eliot,"Felix Holt, the Radical"
0.25,0.18768990363746854,0.00625,0.05375,0.25625,0.05286917267123882,0.11797899123187777,0.08846254015105479,0.055,0.0,0.02625,0.0,0.00125,0.015,0.006510981856063894,0.23526347773244205,0.1849986978036288,0.045,0.764736522267558,0.022745029950516537,0.11,0.1083427380849032,George Eliot,"Felix Holt, the Radical"
0.23125,0.17691056910569106,0.0075,0.035,0.28,0.06105691056910569,0.12040650406504065,0.09317073170731707,0.095,0.00125,0.035,0.0,0.00125,0.01,0.00983739837398374,0.23886178861788618,0.16967479674796748,0.03375,0.7611382113821138,0.02138211382113821,0.15,0.11577235772357723,George Eliot,Adam Bede
0.31125,0.19440470513431887,0.01125,0.0575,0.275,0.051184231441742174,0.10968049594659036,0.09100302018756955,0.06,0.005,0.02625,0.0,0.0,0.01125,0.00747099030360833,0.23438245112064854,0.17548879351454458,0.05,0.7656175488793514,0.025910030201875694,0.1425,0.10213002702273088,George Eliot,"Felix Holt, the Radical"
0.11375,0.1303941908713693,0.01375,0.03,0.22,0.06390041493775933,0.12199170124481327,0.10653526970954356,0.065,0.0025,0.02125,0.0,0.0,0.00875,0.011618257261410789,0.22603734439834025,0.15954356846473028,0.01875,0.7739626556016598,0.013278008298755186,0.0975,0.11887966804979253,George Eliot,Adam Bede
0.2675,0.17103481239544333,0.02375,0.06,0.28,0.05910937624472238,0.11558989882896518,0.09806420775910141,0.10625,0.0025,0.04625,0.0,0.005,0.0325,0.008045885445710188,0.23125945989006613,0.16179399346769696,0.03875,0.7687405401099339,0.023341034015773122,0.19375,0.11511192543615072,George Eliot,The Mill on the Floss
0.2175,0.18953695081689664,0.005,0.045,0.27125,0.052145940912553965,0.11758232455769067,0.09836620672140861,0.0675,0.0,0.01125,0.0,0.0025,0.01375,0.0073647676288834335,0.24557690679759586,0.18090239566579192,0.0325,0.7544230932024041,0.02141708287479895,0.12375,0.11555066452213662,George Eliot,"Felix Holt, the Radical"
0.1525,0.17520846044335978,0.0075,0.04,0.225,0.052572706935123045,0.1185682326621924,0.09538336383973968,0.06125,0.0,0.02375,0.0,0.00125,0.0125,0.006914785438275371,0.23337400854179377,0.17520846044335978,0.0325,0.7666259914582062,0.023693308928208257,0.08125,0.11185682326621924,George Eliot,"Felix Holt, the Radical"
0.2075,0.17705667276051187,0.01,0.035,0.25875,0.06645338208409507,0.11343692870201097,0.09259597806215722,0.09125,0.00125,0.04125,0.0,0.00375,0.0025,0.010420475319926873,0.23190127970749544,0.1710237659963437,0.0275,0.7680987202925046,0.01782449725776965,0.1175,0.1103290676416819,George Eliot,Adam Bede
0.19,0.1675755033557047,0.01625,0.0475,0.22625,0.05578859060402685,0.11262583892617449,0.09280620805369127,0.06875,0.00375,0.0375,0.0,0.00625,0.015,0.007445469798657718,0.22986577181208054,0.16652684563758388,0.02875,0.7701342281879194,0.018770973154362415,0.0975,0.11241610738255034,George Eliot,The Mill on the Floss
0.2225,0.14755920321449945,0.01125,0.0475,0.26625,0.0557407882362999,0.11524322475848509,0.09575104727707959,0.10375,0.0,0.03375,0.0,0.00125,0.03875,0.008378216636744464,0.23382063777036846,0.1628622723775327,0.04125,0.7661793622296316,0.01855176540993417,0.18125,0.11891938103787296,George Eliot,The Mill on the Floss
0.2925,0.18416717246163183,0.00375,0.0575,0.26375,0.055492933321772304,0.1129801439347958,0.09060955518945635,0.07,0.0,0.01875,0.0,0.0025,0.01,0.006763201248591,0.23887973640856672,0.1812191103789127,0.045,0.7611202635914333,0.021850342495447844,0.1075,0.10465620393652995,George Eliot,"Felix Holt, the Radical"
0.11875,0.1340648379052369,0.015,0.04125,0.235,0.05885286783042394,0.12728179551122196,0.11182044887780548,0.095,0.00375,0.0325,0.0,0.00125,0.0125,0.009576059850374064,0.22902743142144638,0.14892768079800497,0.01875,0.7709725685785536,0.01835411471321696,0.0875,0.12389027431421447,George Eliot,Adam Bede
0.17125,0.19998158548936562,0.00625,0.03125,0.24375,0.05367829849921738,0.11555105423073382,0.09363778657582175,0.05625,0.0,0.025,0.0,0.0025,0.0125,0.008102384679127153,0.24353190313967407,0.1860786299604088,0.03875,0.7564680968603259,0.020808397016849278,0.09375,0.10882975784918515,George Eliot,"Felix Holt, the Radical"
0.1525,0.14531475252282555,0.0125,0.0375,0.24125,0.06391158097068717,0.11984622777510812,0.09966362325804902,0.06875,0.00125,0.02625,0.0,0.0,0.0075,0.011532916866890917,0.22912061508889955,0.16540124939932724,0.0225,0.7708793849111004,0.01585776069197501,0.11375,0.11600192215281115,George Eliot,Adam Bede
0.205,0.1489191353082466,0.0125,0.04125,0.255,0.06218307979717107,0.12107463748776799,0.10257094564540521,0.08375,0.0025,0.03625,0.0,0.00125,0.0075,0.009696646205853572,0.22640334489814073,0.15710346054621474,0.0225,0.7735966551018593,0.020016012810248198,0.135,0.11893959612134151,George Eliot,Adam Bede
0.27875,0.17016679630109757,0.0225,0.05875,0.28875,0.06179241206464437,0.11209057125572552,0.09394175092904676,0.1025,0.00375,0.035,0.0,0.0,0.02,0.00855587243971999,0.22876155907008902,0.16152450090744103,0.04125,0.771238440929911,0.02445769596404805,0.155,0.11079422694667704,George Eliot,The Mill on the Floss
0.10125,0.1517644726407613,0.00375,0.0175,0.265,0.06443298969072164,0.12311657414750199,0.10408406026962728,0.07,0.0,0.03,0.0,0.0,0.00875,0.009119746233148296,0.22839016653449642,0.16316415543219667,0.02125,0.7716098334655036,0.01120142743854084,0.0825,0.12153053132434576,George Eliot,Adam Bede
0.19125,0.14950349393159248,0.01125,0.04,0.2375,0.06491357116586981,0.12054063994115484,0.09773813902169916,0.0725,0.0025,0.03375,0.0,0.00125,0.0075,0.010665685913938948,0.2271055535123207,0.16191614564178006,0.01875,0.7728944464876792,0.019124678190511217,0.1375,0.1171386539168812,George Eliot,Adam Bede
0.2725,0.1777694046721929,0.00875,0.0375,0.29875,0.056895252449133384,0.11424265259984928,0.09751318764129616,0.085,0.0025,0.03375,0.0,0.0,0.005,0.009495101733232855,0.23406179351921627,0.17807083647324792,0.04125,0.7659382064807837,0.022833458929917106,0.15625,0.10979653353428787,George Eliot,Adam Bede
