Ch,Circ,action,location,person,Author,Novel
0.19486948694869488,0.25517551755175516,0.06075607560756076,0.19441944194419442,0.2947794779477948,Андреев,Ангелочек
0.1932826362484157,0.2946768060836502,0.06717363751584284,0.19898605830164764,0.2458808618504436,Андреев,Баргамот и Гараська
0.2223667100130039,0.26397919375812745,0.052882531426094496,0.1716514954486346,0.2891200693541396,Андреев,Бездна
0.2202517162471396,0.2448512585812357,0.06922196796338673,0.19050343249427917,0.2751716247139588,Андреев,Большой шлем
0.20784543325526933,0.2300936768149883,0.06440281030444965,0.2066744730679157,0.29098360655737704,Андреев,В подвале
0.20747295968534907,0.232055063913471,0.06096361848574238,0.19714847590953785,0.3023598820058997,Андреев,В Сабурове
0.22824302134646962,0.24548440065681446,0.051313628899835796,0.20032840722495895,0.2746305418719212,Андреев,В темную даль
0.19901168014375561,0.25067385444743934,0.0673854447439353,0.1765498652291105,0.3063791554357592,Андреев,Валя
0.17955555555555555,0.24355555555555555,0.06222222222222222,0.19466666666666665,0.32,Андреев,Друг
0.21414538310412573,0.24400785854616897,0.05697445972495088,0.21021611001964635,0.27465618860510804,Андреев,Иностранец
0.20542317173377156,0.2703368940016434,0.047658175842235,0.2029580936729663,0.2736236647493837,Андреев,Кусака
0.18792866941015088,0.3161865569272977,0.04183813443072702,0.19272976680384088,0.2613168724279835,Андреев,Мельком
0.18516746411483254,0.23444976076555024,0.08325358851674641,0.18851674641148325,0.30861244019138756,Андреев,Молодежь
0.20415879017013233,0.2514177693761815,0.05255198487712665,0.20226843100189035,0.2896030245746692,Андреев,На реке
0.22105263157894736,0.2389016018306636,0.05217391304347826,0.2022883295194508,0.28558352402745996,Андреев,Первый гонорар
0.19494584837545126,0.296028880866426,0.05595667870036101,0.1552346570397112,0.29783393501805056,Андреев,Прекрасна жизнь для воскресших
0.179996389239935,0.27134861888427514,0.07564542336161761,0.19967503159415056,0.2733345369200217,Андреев,Рассказ о Сергее Петровиче
0.17428350116189,0.2726568551510457,0.06661502711076685,0.15956622773044152,0.3268783888458559,Андреев,Стена
0.20430906389301634,0.266468548786528,0.05646359583952452,0.1986131748390292,0.27414561664190196,Андреев,У окна
0.22208121827411167,0.2715736040609137,0.050761421319796954,0.1649746192893401,0.2906091370558376,Андреев,Что видела галка
0.1791907514450867,0.3312138728323699,0.04277456647398844,0.21705202312138727,0.22976878612716764,Астафьев,Прокляты и убиты. Книга вторая
0.21532990912682734,0.2674832082180956,0.04938759383642829,0.20387198735677597,0.26392730146187277,Астафьев,Прокляты и убиты. Книга вторая
0.19491035280508964,0.2981492192018508,0.045112781954887216,0.21631000578369,0.24551764025448236,Астафьев,Прокляты и убиты. Книга вторая
0.2043613707165109,0.2822429906542056,0.059190031152647975,0.19626168224299065,0.25794392523364484,Астафьев,Прокляты и убиты. Книга вторая
0.21307227181111432,0.28390440541318746,0.04578174488914483,0.22487762741145984,0.2323639504750936,Астафьев,Прокляты и убиты. Книга вторая
0.18974751338944146,0.27850038255547055,0.046289211935730684,0.2260902830910482,0.2593726090283091,Астафьев,Прокляты и убиты. Книга вторая
0.21443801401157478,0.26896131586963146,0.049649710630520864,0.21992080414255255,0.24703015534572037,Астафьев,Прокляты и убиты. Книга вторая
0.22847522847522847,0.22847522847522847,0.05627705627705628,0.20105820105820105,0.2857142857142857,Астафьев,Прокляты и убиты. Книга вторая
0.20611748348974626,0.2586027111574557,0.05700382342718109,0.2224539450816823,0.2558220368439347,Астафьев,Прокляты и убиты. Книга вторая
0.20425277029050615,0.26894279724468406,0.05630428271937706,0.21114106019766396,0.2593590895477688,Астафьев,Прокляты и убиты. Книга вторая
0.20640250727557646,0.3022162525184688,0.047235280949182896,0.2131184239982091,0.2310275352585628,Астафьев,Прокляты и убиты. Книга вторая
0.21106166560712014,0.2530197075651621,0.05944055944055944,0.1993006993006993,0.277177368086459,Астафьев,Прокляты и убиты. Книга вторая
0.21038062283737025,0.24740484429065743,0.05467128027681661,0.2235294117647059,0.2640138408304498,Астафьев,Прокляты и убиты. Книга вторая
0.2090978593272171,0.2622324159021407,0.045871559633027525,0.2198012232415902,0.26299694189602446,Астафьев,Прокляты и убиты. Книга вторая
0.19013806706114397,0.2690335305719921,0.047337278106508875,0.1952662721893491,0.2982248520710059,Астафьев,Прокляты и убиты. Книга вторая
0.1757972199509403,0.2812755519215045,0.0437448896156991,0.18969746524938674,0.3094848732624693,Астафьев,Прокляты и убиты. Книга вторая
0.20750551876379691,0.2682119205298013,0.04966887417218543,0.18211920529801323,0.2924944812362031,Астафьев,Прокляты и убиты. Книга вторая
0.22964015151515152,0.20454545454545456,0.05113636363636364,0.22821969696969696,0.2864583333333333,Астафьев,Прокляты и убиты. Книга вторая
0.20212765957446807,0.2615769712140175,0.054130162703379225,0.21339173967459324,0.2687734668335419,Астафьев,Прокляты и убиты. Книга вторая
0.2170145726664041,0.2374950768018905,0.05238282788499409,0.21228830248129185,0.28081922016541944,Астафьев,Прокляты и убиты. Книга вторая
0.20680628272251309,0.25741710296684117,0.05148342059336824,0.19197207678883071,0.29232111692844676,Астафьев,Прокляты и убиты. Книга вторая
0.19884309472161968,0.30561581103880453,0.04724029886719691,0.1940226560617016,0.2542781393106773,Астафьев,Прокляты и убиты. Книга вторая
0.20345557122708038,0.24964739069111425,0.05112834978843441,0.22461212976022568,0.2711565585331453,Астафьев,Прокляты и убиты. Книга вторая
0.20372767279316592,0.28578824747605486,0.042971783587885067,0.20968159461558375,0.25783070152731036,Астафьев,Прокляты и убиты. Книга вторая
