AdjTurnover,AgreementPB,AppealConstruction,ComplicatedByApplication,ComplicatedByHomogeneous,ContiguityPB,ControlPB,CoordinationPB,InsertConstruction,InterjectionConstruction,IntroConstruction,Nominative,NotSeparatedSentences,Vocative,advphr,comphr,nomphr,participle,simlphr,syntaxNonFreePhrases,verbalAdverb,verbphr,Author,Novel
0.12,0.14946070878274267,0.01,0.015,0.185,0.06933744221879815,0.11145351823317926,0.09655880842321521,0.045,0.0,0.04,0.0,0.01,0.0,0.01335387776065742,0.22342064714946072,0.1617873651771957,0.025,0.7765793528505393,0.008217770929635337,0.12,0.11658962506420134,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.17,0.1517699115044248,0.01,0.055,0.225,0.05176991150442478,0.11946902654867257,0.08938053097345133,0.075,0.005,0.015,0.0,0.005,0.005,0.009292035398230088,0.2345132743362832,0.168141592920354,0.015,0.7654867256637168,0.01415929203539823,0.145,0.1172566371681416,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.2,0.14333333333333334,0.03,0.09,0.235,0.050833333333333335,0.11375,0.08125,0.045,0.0,0.02,0.0,0.01,0.025,0.01,0.22208333333333333,0.15958333333333333,0.04,0.7779166666666667,0.020416666666666666,0.155,0.11666666666666667,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.2,0.17216861350939563,0.02,0.02,0.175,0.05535804977145759,0.12646013204672424,0.08583037074657186,0.035,0.0,0.02,0.0,0.005,0.01,0.0111731843575419,0.24276282376841035,0.16455053326561705,0.04,0.7572371762315896,0.018283392585068562,0.065,0.12595226003047233,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.19,0.16006040015100037,0.03,0.065,0.315,0.058512646281615704,0.11740279350698377,0.07965269913174783,0.095,0.0,0.025,0.0,0.02,0.025,0.011702529256323141,0.23556058890147225,0.17629294073235183,0.06,0.7644394110985278,0.0120800302000755,0.215,0.11891279728199321,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.395,0.18387650085763294,0.015,0.045,0.255,0.061406518010291594,0.12109777015437392,0.08130360205831903,0.015,0.0,0.05,0.0,0.005,0.0,0.011320754716981131,0.2360205831903945,0.1653516295025729,0.05,0.7639794168096055,0.026758147512864493,0.24,0.11252144082332761,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.325,0.20214285714285715,0.015,0.03,0.245,0.05714285714285714,0.12107142857142857,0.08428571428571428,0.045,0.005,0.03,0.0,0.01,0.015,0.011785714285714287,0.2332142857142857,0.1725,0.065,0.7667857142857143,0.017857142857142856,0.18,0.11,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.365,0.2002200220022002,0.015,0.05,0.255,0.05133846718005134,0.11074440777411075,0.08250825082508251,0.065,0.01,0.01,0.0,0.005,0.02,0.008434176751008434,0.24055738907224056,0.17895122845617895,0.045,0.7594426109277594,0.022002200220022004,0.125,0.1078107810781078,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.21,0.12112068965517242,0.01,0.04,0.215,0.06379310344827586,0.11594827586206896,0.10517241379310345,0.03,0.0,0.045,0.0,0.025,0.02,0.013793103448275862,0.21508620689655172,0.1400862068965517,0.015,0.7849137931034482,0.01163793103448276,0.075,0.10775862068965517,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.2,0.1495246326707001,0.005,0.035,0.225,0.04710458081244598,0.12273120138288678,0.09031979256698358,0.05,0.0,0.04,0.0,0.005,0.02,0.0056179775280898875,0.23984442523768368,0.16637856525496975,0.02,0.7601555747623163,0.009075194468452896,0.145,0.12143474503025065,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.19,0.16706443914081145,0.0,0.045,0.255,0.053301511535401754,0.11694510739856802,0.08432776451869531,0.065,0.0,0.025,0.0,0.005,0.005,0.009148766905330152,0.22951471758154335,0.17820206841686556,0.045,0.7704852824184566,0.02426412092283214,0.18,0.10859188544152745,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.395,0.17360468701819304,0.015,0.055,0.255,0.06691335183472094,0.11378353376503238,0.08448967005858772,0.07,0.005,0.03,0.0,0.015,0.015,0.010792476102374344,0.22849213691026826,0.16743755781683625,0.06,0.7715078630897317,0.02929386370644465,0.23,0.10545790934320073,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.545,0.1709448388858547,0.015,0.04,0.35,0.05734571272528673,0.11469142545057345,0.07482250136537412,0.1,0.0,0.035,0.0,0.015,0.02,0.012561441835062807,0.230202075368651,0.1859639541234298,0.085,0.769797924631349,0.018569087930092845,0.29,0.10131075914800655,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.15,0.1308097747963584,0.015,0.035,0.22,0.059894585529468136,0.12026832774317202,0.08960229995208434,0.085,0.0,0.02,0.0,0.01,0.0,0.011499760421657882,0.21418303785337806,0.1614758025874461,0.01,0.785816962146622,0.009103977000479156,0.09,0.11499760421657883,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.065,0.10307609282245007,0.005,0.01,0.215,0.09821910415542363,0.1090124123043713,0.08958445763626552,0.07,0.0,0.015,0.0,0.02,0.01,0.021046950890447922,0.22018348623853212,0.1392336751214247,0.03,0.7798165137614679,0.010793308148947653,0.13,0.1305990286022666,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.34,0.16007777057679845,0.015,0.045,0.26,0.06740116655865197,0.11471160077770577,0.08587167854828257,0.075,0.0,0.025,0.0,0.005,0.01,0.013285806869734284,0.22683084899546338,0.16850291639662995,0.03,0.7731691510045366,0.02559948152948801,0.23,0.10920285158781594,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.2,0.18337781166603126,0.01,0.045,0.295,0.05947388486465879,0.12237895539458635,0.08158597026305757,0.05,0.0,0.025,0.0,0.01,0.005,0.009149828440716736,0.24285169653069005,0.19176515440335493,0.035,0.75714830346931,0.014105985512771636,0.15,0.12542889820815858,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.145,0.11913357400722022,0.0,0.025,0.195,0.05415162454873646,0.12575210589651023,0.09386281588447654,0.065,0.0,0.015,0.0,0.04,0.015,0.012033694344163659,0.2190132370637786,0.148014440433213,0.02,0.7809867629362214,0.011432009626955475,0.08,0.1263537906137184,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.285,0.17982129560685034,0.005,0.07,0.275,0.04877140729709605,0.11727475800446761,0.08376768428890544,0.085,0.005,0.04,0.0,0.005,0.035,0.00781831720029784,0.22896500372300818,0.17982129560685034,0.01,0.7710349962769918,0.024571854058078928,0.16,0.10275502606105734,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.53,0.16349074841204086,0.03,0.04,0.345,0.0615851974592654,0.11350455675227837,0.07760287213476941,0.11,0.0,0.03,0.0,0.005,0.025,0.012703673018503175,0.2275614471140569,0.17536592101629384,0.08,0.7724385528859431,0.01739850869925435,0.265,0.10245788456227561,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.295,0.14089231801408922,0.0,0.03,0.32,0.06910432740691043,0.11975847031197585,0.09996645420999664,0.055,0.0,0.045,0.0,0.005,0.0,0.01274740020127474,0.2307950352230795,0.1553170077155317,0.035,0.7692049647769205,0.012411942301241194,0.19,0.1251257967125126,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.415,0.18708906156604901,0.01,0.065,0.31,0.05170352659892409,0.10669456066945607,0.07919904363419007,0.08,0.005,0.02,0.0,0.005,0.015,0.008069336521219366,0.2355050806933652,0.19336521219366407,0.09,0.7644949193066348,0.015839808726838017,0.16,0.10071727435744172,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.415,0.18742514970059881,0.01,0.065,0.305,0.051796407185628744,0.10688622754491017,0.07904191616766468,0.08,0.005,0.02,0.0,0.005,0.015,0.008083832335329342,0.23562874251497007,0.19311377245508982,0.09,0.76437125748503,0.015568862275449102,0.16,0.10089820359281437,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.46,0.16205882352941176,0.02,0.06,0.27,0.07558823529411765,0.10882352941176471,0.08323529411764706,0.055,0.0,0.065,0.0,0.01,0.005,0.01411764705882353,0.21676470588235294,0.1661764705882353,0.055,0.783235294117647,0.021176470588235293,0.19,0.1011764705882353,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.22,0.17706576728499157,0.04,0.035,0.19,0.05649241146711636,0.11593591905564925,0.08305227655986509,0.045,0.0,0.015,0.0,0.015,0.005,0.0096964586846543,0.23524451939291738,0.16568296795952783,0.015,0.7647554806070826,0.022765598650927487,0.12,0.10919055649241147,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.17,0.1478102189781022,0.015,0.095,0.185,0.0552007299270073,0.11815693430656934,0.09078467153284671,0.055,0.0,0.01,0.0,0.015,0.01,0.010948905109489052,0.22445255474452555,0.15693430656934307,0.04,0.7755474452554745,0.014598540145985401,0.125,0.11131386861313869,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.24,0.1361450240473548,0.015,0.045,0.205,0.05660377358490566,0.1220865704772475,0.0924898261191269,0.04,0.0,0.04,0.0,0.0,0.015,0.01368849426563078,0.2241953385127636,0.15353311135775063,0.06,0.7758046614872364,0.01220865704772475,0.185,0.11875693673695893,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.325,0.16586627262652381,0.02,0.045,0.25,0.045068341337273735,0.12116734392316217,0.08090136682674548,0.105,0.0,0.0,0.0,0.005,0.01,0.0066494274104174364,0.23014407092722572,0.16734392316217214,0.06,0.7698559290727743,0.014776505356483192,0.145,0.11414850387883266,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.25,0.1923831959167648,0.0,0.04,0.26,0.053788771103258734,0.1221044365920691,0.07773851590106007,0.06,0.0,0.025,0.0,0.005,0.015,0.009030231645072634,0.232037691401649,0.1951315272870043,0.02,0.767962308598351,0.014526894385551629,0.1,0.10482921083627797,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.26,0.15558292282430214,0.02,0.05,0.23,0.06527093596059114,0.11371100164203612,0.08825944170771757,0.095,0.0,0.02,0.0,0.0,0.035,0.010262725779967159,0.22495894909688013,0.1683087027914614,0.03,0.7750410509031199,0.023809523809523808,0.07,0.1022167487684729,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.495,0.20713224368499258,0.005,0.045,0.29,0.047845468053491824,0.11352154531946508,0.07934621099554234,0.085,0.0,0.02,0.0,0.005,0.015,0.005052005943536404,0.23684992570579494,0.1762258543833581,0.08,0.763150074294205,0.02674591381872214,0.155,0.10846953937592868,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.195,0.13578138343296328,0.005,0.035,0.265,0.06746370623398805,0.12297181895815543,0.09052092228864218,0.045,0.005,0.02,0.0,0.005,0.005,0.015798462852263023,0.22160546541417592,0.15584970111016225,0.01,0.7783945345858241,0.011101622544833475,0.12,0.11485909479077712,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.235,0.17474402730375427,0.01,0.07,0.27,0.0583617747440273,0.11877133105802047,0.08020477815699659,0.075,0.005,0.02,0.0,0.005,0.01,0.009897610921501706,0.22662116040955632,0.1696245733788396,0.055,0.7733788395904437,0.015017064846416382,0.23,0.11569965870307167,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
0.115,0.18015963511972635,0.005,0.055,0.17,0.05473204104903079,0.12086659064994298,0.08494868871151653,0.02,0.005,0.005,0.0,0.045,0.015,0.005131128848346636,0.2331812998859749,0.1676168757126568,0.01,0.7668187001140251,0.014823261117445839,0.05,0.11231470923603193,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.17,0.15282685512367492,0.045,0.06,0.2,0.05609540636042403,0.11969964664310954,0.08701413427561837,0.08,0.01,0.025,0.0,0.02,0.025,0.009717314487632508,0.2252650176678445,0.14531802120141343,0.035,0.7747349823321554,0.03445229681978799,0.11,0.12014134275618374,Charles Dickens,The Life And Adventures Of Nicholas Nickleby
0.1,0.1273176761433869,0.005,0.015,0.19,0.05686032138442522,0.11186650185414092,0.09456118665018541,0.06,0.0,0.02,0.0,0.015,0.01,0.011124845488257108,0.22126081582200247,0.16007416563658838,0.015,0.7787391841779975,0.005562422744128554,0.055,0.11928306551297899,Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty
