Абстрактность,Будущее,Динамичность,Местоименная замена,Настоящее,Обобщенность действия,Описательность,Описательность действия,Пассив,Предметность,Признак действия,Прошедшее,Реальная модальность,Совершенность действия,Состояние,Численность,Author,Novel
0.15825688073394495,0.100418410041841,0.3140655105973025,0.33787465940054495,0.1297071129707113,0.03669724770642202,0.39313984168865435,0.1918238993710692,0.391304347826087,0.3535645472061657,0.2798165137614679,0.7698744769874477,0.9707112970711297,0.41841004184100417,0.007707129094412331,0.0079155672823219,Андреев,Ангелочек
0.1615720524017467,0.11461318051575932,0.28677309007981755,0.2986111111111111,0.08595988538681948,0.012422360248447204,0.5572390572390572,0.29554655870445345,0.4927536231884058,0.32839224629418473,0.3022774327122153,0.7994269340974212,0.9484240687679083,0.47277936962750716,0.01539338654503991,0.013468013468013467,Андреев,Ангелочек
0.2314674735249622,0.11074918566775244,0.26429341963322545,0.3090551181102362,0.18892508143322476,0.020599250936329586,0.5453216374269005,0.3138075313807531,0.46551724137931033,0.2740021574973031,0.2808988764044944,0.7003257328990228,0.9674267100977199,0.3745928338762215,0.01564185544768069,0.005847953216374269,Андреев,Баргамот и Гараська
0.17321016166281755,0.056338028169014086,0.2574430823117338,0.3659217877094972,0.056338028169014086,0.0027100271002710027,0.7434402332361516,0.40213523131672596,0.3333333333333333,0.3134851138353765,0.3062330623306233,0.8873239436619719,0.9577464788732394,0.431924882629108,0.014010507880910683,0.03206997084548105,Андреев,Бездна
0.17994100294985252,0.056847545219638244,0.30798479087452474,0.4262589928057554,0.08785529715762273,0.0018867924528301887,0.5948103792415169,0.42,0.20634920634920634,0.3020097772949484,0.4358490566037736,0.8552971576227391,0.9741602067183462,0.49612403100775193,0.012493210211841391,0.023952095808383235,Андреев,Бездна
0.16930022573363432,0.059907834101382486,0.26177285318559557,0.25271739130434784,0.059907834101382486,0.018032786885245903,0.5019059720457433,0.36823104693140796,0.6363636363636364,0.3397968605724838,0.3344262295081967,0.880184331797235,0.9930875576036866,0.35944700460829493,0.006925207756232687,0.04193138500635324,Андреев,Большой шлем
0.189873417721519,0.07806691449814127,0.2785817655571635,0.39732142857142855,0.12267657992565056,0.010498687664041995,0.5783410138248848,0.3351063829787234,0.4722222222222222,0.32416787264833574,0.33070866141732286,0.7992565055762082,0.9851301115241635,0.30855018587360594,0.01085383502170767,0.018433179723502304,Андреев,В подвале
0.20748299319727892,0.15675675675675677,0.3032178217821782,0.351931330472103,0.08108108108108109,0.00909090909090909,0.5265151515151515,0.3319327731092437,0.18181818181818182,0.28836633663366334,0.35909090909090907,0.7621621621621621,0.9135135135135135,0.5567567567567567,0.01485148514851485,0.007575757575757576,Андреев,В подвале
0.21649484536082475,0.08139534883720931,0.27226202661207777,0.2894736842105263,0.10465116279069768,0.027237354085603113,0.46774193548387094,0.29457364341085274,0.5384615384615384,0.3111566018423746,0.29571984435797666,0.813953488372093,0.9476744186046512,0.3953488372093023,0.007164790174002047,0.01881720430107527,Андреев,В Сабурове
0.17415730337078653,0.11038961038961038,0.31409395973154364,0.2857142857142857,0.08766233766233766,0.005649717514124294,0.41818181818181815,0.2681318681318681,0.3728813559322034,0.2959731543624161,0.3446327683615819,0.801948051948052,0.9318181818181818,0.525974025974026,0.004697986577181208,0.00909090909090909,Андреев,В Сабурове
0.18976545842217485,0.029288702928870293,0.26595744680851063,0.30526315789473685,0.07112970711297072,0.028350515463917526,0.59,0.44904458598726116,0.21875,0.3109656301145663,0.3634020618556701,0.899581589958159,0.9707112970711297,0.41422594142259417,0.013911620294599018,0.025,Андреев,В темную даль
0.18392370572207084,0.0673854447439353,0.2690156599552573,0.32554257095158595,0.11859838274932614,0.02982107355864811,0.5219512195121951,0.3576017130620985,0.3333333333333333,0.33501118568232663,0.3320079522862823,0.8140161725067385,0.9595687331536388,0.4474393530997305,0.011185682326621925,0.024390243902439025,Андреев,В темную даль
0.14792899408284024,0.1111111111111111,0.27201783723522854,0.4201388888888889,0.20202020202020202,0.01556420233463035,0.6468401486988847,0.32916666666666666,0.16666666666666666,0.3210702341137124,0.30739299610894943,0.6868686868686869,0.9444444444444444,0.41919191919191917,0.01560758082497213,0.022304832713754646,Андреев,Валя
0.13249651324965134,0.09574468085106383,0.27282549972987574,0.3279742765273312,0.14361702127659576,0.010080645161290322,0.5782945736434109,0.23790322580645162,0.35294117647058826,0.33603457590491626,0.23790322580645162,0.7606382978723404,0.976063829787234,0.42021276595744683,0.011345218800648298,0.010852713178294573,Андреев,Валя
0.16776315789473684,0.071875,0.28996539792387543,0.3438735177865613,0.05,0.008450704225352112,0.48879837067209775,0.27053140096618356,0.39473684210526316,0.3501730103806228,0.3154929577464789,0.878125,0.971875,0.2875,0.01314878892733564,0.002036659877800407,Андреев,Друг
0.20041753653444677,0.07534246575342465,0.26390870185449355,0.34203655352480417,0.0958904109589041,0.013888888888888888,0.610989010989011,0.40771349862258954,0.48,0.2731811697574893,0.3425925925925926,0.8287671232876712,0.9691780821917808,0.1780821917808219,0.007845934379457917,0.04835164835164835,Андреев,Иностранец
0.21609538002980627,0.11140583554376658,0.27995642701525053,0.42585551330798477,0.09283819628647215,0.011516314779270634,0.6299483648881239,0.301010101010101,0.3958333333333333,0.28649237472766886,0.28598848368522073,0.7957559681697612,0.946949602122016,0.4827586206896552,0.010893246187363835,0.020654044750430294,Андреев,Иностранец
