action descriptiveness,action feature,descriptiveness,dynamism,number,pass voice,past tense,present tense,pronominal_replacement,real modality,Author,Novel
0.40909090909090906,0.2647058823529412,0.26956521739130435,0.18448637316561836,0.0782608695652174,24.647727272727273,0.7777777777777778,0.2222222222222222,0.39790575916230364,361.5,David Lawrence,Women in Love
0.6732673267326733,0.37158469945355194,0.326241134751773,0.1590551181102362,0.24113475177304963,19.346534653465348,0.6615384615384615,0.3384615384615385,0.39743589743589747,503.009900990099,David Lawrence,Sons and Lovers
0.3875,0.23484848484848486,0.6179775280898876,0.17699115044247782,0.011235955056179775,0.0,0.6842105263157895,0.3157894736842105,0.521505376344086,343.2,David Lawrence,Women in Love
0.39999999999999997,0.34285714285714286,0.48484848484848486,0.22499999999999995,0.0,13.022222222222222,0.9696969696969697,0.030303030303030304,0.5975609756097561,351.59999999999997,David Lawrence,Sons and Lovers
0.625,0.3618421052631579,0.37383177570093457,0.16326530612244897,0.04672897196261682,18.65909090909091,0.7111111111111111,0.28888888888888886,0.5046296296296297,317.20454545454544,David Lawrence,"England, My England"
0.37500000000000006,0.26086956521739135,0.5753424657534247,0.20833333333333326,0.0410958904109589,0.0,0.7735849056603774,0.22641509433962265,0.46715328467153283,361.675,David Lawrence,Women in Love
0.5048543689320388,0.24761904761904763,0.4266666666666667,0.1728187919463087,0.006666666666666667,42.5242718446602,0.9242424242424242,0.07575757575757576,0.38775510204081637,442.25242718446606,David Lawrence,"England, My England"
0.41935483870967744,0.2932330827067669,0.4174757281553398,0.19214876033057848,0.029126213592233004,16.365591397849464,0.8115942028985508,0.18840579710144928,0.4635416666666667,490.9677419354839,David Lawrence,The White Peacock
0.46938775510204084,0.3194444444444445,0.3203883495145631,0.2094017094017094,0.038834951456310676,21.275510204081634,0.8548387096774194,0.14516129032258066,0.3869047619047619,340.40816326530614,David Lawrence,Sons and Lovers
0.41,0.2679738562091504,0.28169014084507044,0.17605633802816903,0.16901408450704225,59.92,0.8115942028985508,0.18840579710144928,0.3716814159292035,393.76,David Lawrence,Sons and Lovers
0.43137254901960786,0.3410852713178295,0.6266666666666667,0.21610169491525424,0.0,28.470588235294116,0.8333333333333334,0.16666666666666666,0.6031746031746031,363.0,David Lawrence,Women in Love
0.5,0.38211382113821135,0.5466666666666666,0.20842572062084258,0.04,43.91489361702128,0.855072463768116,0.14492753623188406,0.5879120879120878,409.87234042553195,David Lawrence,Sons and Lovers
0.39436619718309857,0.37333333333333335,0.35185185185185186,0.21194029850746263,0.037037037037037035,0.0,0.8478260869565217,0.15217391304347827,0.5609756097560975,315.2957746478873,David Lawrence,Sons and Lovers
0.45999999999999996,0.32857142857142857,0.3069306930693069,0.21141649048625794,0.04950495049504951,21.18,0.8225806451612904,0.1774193548387097,0.40588235294117647,338.88,David Lawrence,Sons and Lovers
0.32051282051282054,0.36231884057971014,0.41666666666666663,0.21848739495798317,0.0,0.0,0.803921568627451,0.19607843137254902,0.6511627906976744,356.71794871794873,David Lawrence,The White Peacock
0.6559139784946236,0.4959349593495935,0.4444444444444445,0.20852017937219733,0.0,15.29032258064516,0.7333333333333333,0.26666666666666666,0.6576086956521738,382.25806451612897,David Lawrence,The White Peacock
0.7070707070707071,0.3240740740740741,0.4852941176470588,0.15890850722311392,0.022058823529411763,27.909090909090907,0.8421052631578947,0.15789473684210525,0.42372881355932207,539.5757575757575,David Lawrence,"England, My England"
0.39560439560439564,0.4556962025316456,0.25396825396825395,0.24863387978142076,0.031746031746031744,12.945054945054947,0.8787878787878788,0.12121212121212122,0.6086956521739131,317.1538461538462,David Lawrence,"England, My England"
0.31645569620253167,0.39682539682539686,0.30769230769230765,0.23867069486404838,0.15384615384615383,13.417721518987342,0.75,0.25,0.6312056737588653,288.4810126582279,David Lawrence,Sons and Lovers
0.3736263736263736,0.3434343434343434,0.6470588235294117,0.2156398104265403,0.0,21.36263736263736,0.7457627118644068,0.2542372881355932,0.711864406779661,327.56043956043953,David Lawrence,Women in Love
0.5454545454545455,0.42519685039370086,0.27710843373493976,0.20886075949367086,0.024096385542168672,21.454545454545457,0.7758620689655172,0.22413793103448276,0.5388888888888889,336.1212121212121,David Lawrence,The White Peacock
0.6307692307692309,0.46590909090909083,0.7105263157894737,0.17615176151761516,0.10526315789473684,0.0,0.7441860465116279,0.2558139534883721,0.7304964539007092,342.0,David Lawrence,Sons and Lovers
0.38383838383838387,0.3392857142857143,0.25396825396825395,0.2049689440993789,0.047619047619047616,8.080808080808081,0.8405797101449275,0.15942028985507245,0.41395348837209306,468.6868686868687,David Lawrence,The White Peacock
0.43373493975903615,0.5,0.2073170731707317,0.21447028423772602,0.06097560975609755,0.0,0.8461538461538461,0.15384615384615385,0.5543478260869565,308.2409638554217,David Lawrence,Sons and Lovers
0.4301075268817205,0.3007518796992481,0.37113402061855666,0.1852589641434263,0.041237113402061855,39.892473118279575,0.9206349206349206,0.07936507936507936,0.5764192139737991,430.8387096774194,David Lawrence,Sons and Lovers
0.5934065934065934,0.42857142857142866,0.36585365853658536,0.18421052631578946,0.024390243902439025,16.725274725274726,0.7241379310344828,0.27586206896551724,0.632286995515695,418.13186813186815,David Lawrence,Sons and Lovers
0.6527777777777778,0.44339622641509435,0.4647887323943662,0.1791044776119403,0.04225352112676057,26.375,0.8163265306122449,0.1836734693877551,0.5965909090909091,369.25,David Lawrence,Sons and Lovers
0.41441441441441446,0.2875,0.44067796610169496,0.2082551594746716,0.13559322033898308,37.20720720720721,0.8888888888888888,0.1111111111111111,0.40404040404040403,409.2792792792793,David Lawrence,The White Peacock
